Num Count
0.00 9874
0.01 9784
0.02 9909
0.03 9687
0.04 9984
0.05 9883
0.06 9879
0.07 9814
0.08 9828
0.09 9740
0.10 9931
0.11 9852
0.12 9994
0.13 9895
0.14 9631
0.15 9759
0.16 9796
0.17 10031
0.18 10036
0.19 9988
0.20 9753
0.21 10143
0.22 10088
0.23 9971
0.24 9880
0.25 9986
0.26 9976
0.27 9738
0.28 9924
0.29 9857
0.30 9912
0.31 9882
0.32 9898
0.33 9887
0.34 9974
0.35 10023
0.36 9998
0.37 9710
0.38 9866
0.39 10101
0.40 9901
0.41 9716
0.42 9885
0.43 9784
0.44 9840
0.45 9841
0.46 9665
0.47 9901
0.48 10036
0.49 9861
0.50 9850
0.51 9684
0.52 9817
0.53 9970
0.54 10047
0.55 10036
0.56 10065
0.57 9871
0.58 9866
0.59 9924
0.60 10203
0.61 9919
0.62 9985
0.63 9717
0.64 9922
0.65 10001
0.66 9882
0.67 10046
0.68 10002
0.69 9804
0.70 10083
0.71 9827
0.72 9974
0.73 9880
0.74 9784
0.75 9722
0.76 9888
0.77 9854
0.78 9871
0.79 9864
0.80 10041
0.81 9974
0.82 9703
0.83 9611
0.84 9806
0.85 9860
0.86 9984
0.87 9971
0.88 9810
0.89 10038
0.90 10100
0.91 9887
0.92 9982
0.93 10014
0.94 9943
0.95 9970
0.96 10007
0.97 9937
0.98 9708
0.99 10072
