Num Count
0.00 9816
0.01 9762
0.02 9895
0.03 9817
0.04 9894
0.05 9852
0.06 9985
0.07 9917
0.08 9904
0.09 10010
0.10 9748
0.11 9864
0.12 9869
0.13 9940
0.14 9915
0.15 9956
0.16 9887
0.17 9824
0.18 10006
0.19 9926
0.20 9906
0.21 9942
0.22 9868
0.23 9995
0.24 9927
0.25 10092
0.26 9817
0.27 9716
0.28 10105
0.29 9876
0.30 9951
0.31 9810
0.32 9948
0.33 9998
0.34 9969
0.35 9893
0.36 9846
0.37 9835
0.38 9952
0.39 9976
0.40 9900
0.41 9811
0.42 9889
0.43 9961
0.44 9888
0.45 9860
0.46 9969
0.47 9804
0.48 9943
0.49 9888
0.50 9893
0.51 10033
0.52 10000
0.53 9906
0.54 9846
0.55 9896
0.56 9979
0.57 9708
0.58 9959
0.59 9901
0.60 10060
0.61 9898
0.62 9850
0.63 9772
0.64 9837
0.65 9769
0.66 9894
0.67 9884
0.68 9961
0.69 9916
0.70 9940
0.71 9936
0.72 9856
0.73 9800
0.74 9831
0.75 9838
0.76 9952
0.77 9853
0.78 10010
0.79 9754
0.80 9890
0.81 10092
0.82 9844
0.83 9912
0.84 9758
0.85 9919
0.86 9933
0.87 10018
0.88 9869
0.89 9924
0.90 9768
0.91 9794
0.92 9829
0.93 9978
0.94 9841
0.95 9962
0.96 10051
0.97 9965
0.98 9951
0.99 9964
